江丙坤 陈美惠
刘伯坚 刘虎
方逸华 邵逸夫
王学兵 范冰冰
易建联 姚明
关兴 关羽
戈米沙 戈军
周雅菲 莫科
杨诺思 杨受成
杨诺思 杨永晴
小乔 乔公
小乔 大乔
小乔 周瑜
小乔 孙策
俞敏洪 徐小平
郭可盈 林文龙
郭可盈 郭达昌
钱永佑 钱学榘
张怡宁 徐威
祝钒刚 萧亚轩
祝钒刚 祝锵博
藤原纪香 阵内智则
王文玉 张振圻
宋达泉 周昌芸
宋达泉 马溶之
宋达泉 朱莲青
宋达泉 侯光炯
王庚 梁启超
安倍晋三 安倍昭惠
安倍晋三 安倍晋太郎
安倍晋三 岸信介
张光宇 叶浅予
张光宇 张正宇
张光宇 张仃
白雪仙 薛家燕
白雪仙 邹洁云
白雪仙 龙剑笙
白雪仙 梅雪诗
白雪仙 白驹荣
白雪仙 任剑辉
白雪仙 新马师曾
白雪仙 陆飞鸿
白雪仙 冯峰
程思远 程治平
程思远 程华
申东靖 可米小子
贾南风 郭槐
贾南风 司马衷
贾南风 贾充
王治郅 王非
王治郅 姚明
王治郅 王维君
王治郅 任焕贞
朱邦造 陈立春
盛爱颐 宋子文
盛爱颐 盛宣怀
和珅 丰绅殷德
查传诗 金庸
查传诗 赵国安
姜大卫 尔冬升
姜大卫 红薇
姜大卫 严化
姜大卫 李琳琳
杨盼盼 古寒
车晓彤 车晓
张郃 曹操
刘景然 刘盛通
刘景然 刘盛道
关之琳 刘德华
关之琳 马清伟
关之琳 张冰茜
关之琳 陈泰铭
卡卡 迪甘
卡卡 伊莎贝拉
黄德斌 邵美琪
单田芳 单永魁
王越古 冯天薇
王越古 李浩葳
王越古 刘国栋
毛岸青 邵华
毛岸青 毛新宇
蒋经国 马英九
蒋经国 蒋友梅
蒋经国 蒋孝文
蒋经国 俞扬和
蒋经国 毛福梅
蒋经国 蒋方良
蒋经国 蒋孝勇
蒋经国 章亚若
蒋经国 俞大维
蒋经国 蒋纬国
蒋经国 蒋孝严
张立辰 潘天寿
牛魔王 玉面狐狸
牛魔王 红孩儿
牛魔王 如意真仙
吴昌硕 吴东迈
唐闻生 唐明照
詹才芳 杨静
汪雨 李钰
汪雨 蒋欣
汪雨 陈紫函
汪雨 黄奕
萧淑芳 吴作人
王力宏 许倬云
王力宏 李明姝
王力宏 张惠妹
关海山 关聪
关海山 关可维
叶盛兰 叶莉珠
叶盛兰 刘淑卿
黄立行 蔡依林
郑桂云 张玉斌
周辅国 阎全德
戴立忍 桂纶镁
祖冲之 祖暅
祖冲之 戴法兴
曹操 曹熊
曹操 曹植
曹操 曹丕
曹操 曹彰
曹操 曹林
曹操 曹昂
曹操 曹据
曹操 曹峻
曹操 曹宇
曹操 曹衮
曹操 曹冲
叶剑波 傅明宪
叶剑波 叶立志
叶剑波 陈焕庭
夏姬 夏南
夏姬 陈灵公
夏姬 子蛮
夏姬 仪行父
夏姬 夏御叔
吴宇森 吴飞霞
卫诗 关楚耀
李宗瑞 杨小莉
李宗瑞 李岳苍
李宗瑞 梁婖婷
李宗瑞 吴亚馨
周启生 周永恒
周启生 周吉
庾澄庆 张正芬
庾澄庆 伊能静
庾澄庆 王滢
彭佩云 王汉斌
杨博 杨亚洲
张少楼 章晓申
张少楼 张月楼
姜戎 张抗抗
刘晓庆 阿峰
刘晓庆 王立
关伯威 关世栋
关伯威 张冰茜
彦涵 江丰
彦涵 白桦
彦涵 罗工柳
彦涵 黄永玉
郭襄 郭破虏
郭襄 郭芙
郭襄 郭靖
尹志强 米雪
尹志强 梁汉文
林梦飞 林华国
萧一山 李宗仁
李刚 李启铭
徐悲鸿 徐芳芳
徐悲鸿 徐伯阳
徐悲鸿 孙多慈
徐悲鸿 徐庆平
徐悲鸿 徐静斐
宋子良 宋美龄
包小柏 包小松
包小柏 包伟铭
尹恩惠 金钟国
楚原 张活游
大蛇丸 三代火影
裘英俊 姜宝林
刘欢 毛阿敏
刘欢 刘一丝
刘欢 韦唯
刘欢 卢璐
陈半丁 吴昌硕
陈丽洁 陈青远
唐天际 刘伯承
唐天际 李达
顾大嫂 孙新
贺玉钦 王铁侠
贺玉钦 陈永玲
陈宝珠 杨占美
陈宝珠 陈宝仪
陈宝珠 宫粉红
陈宝珠 杨天经
蔡加赞 蔡志明
施今墨 施如瑜
关心妍 杨长智
张元和 顾传玠
张元和 张允和
茅以升 权桂云
茅以升 茅玉麟
茅以升 戴传蕙
曾山 曾炳生
曾山 曾海生
曾山 曾延生
曾山 曾彩芹
曾山 邓六金
朱桂芳 朱文英
梁汉文 林文慧
秋桐 贾琏
郝兰田 王瑶卿
郝兰田 龚云甫
郝兰田 谢宝云
徐世昌 王雅茹
徐世昌 徐世璋
徐世昌 徐保慈
威尔士亲王 哈利王子
江竹筠烈士 彭咏梧
张国立 张铁林
张国立 张默
张国立 邓婕
张德武 张文顺
吴佳多 吴小明
姚席珍 杨德云
黄秋莲 林淑如
黄秋莲 游象富
姜一郎 周韵
姜一郎 桑德林
李环春 李桐春
葛洪 鲍靓
葛洪 郑隐
葛洪 葛玄
葛洪 黄初平
于会江 赵学义
杜如晦 屈突通
杜如晦 萧瑀
杜如晦 侯君集
杜如晦 长孙无忌
杜如晦 李世民
孙悦 朱芳雨
孙悦 古晨
张德福 齐建波
张德福 陈胜利
张德福 徐培城
顾长卫 蒋雯丽
顾长卫 蒋雯娟
岳美缇 俞振飞
加图索 莫尼卡
陈龙灿 韦晴光
戚雅仙 竺水招
戚雅仙 尹桂芳
戚雅仙 傅幸文
戚雅仙 朱祝芬
戚雅仙 金静
戚雅仙 王杭娟
戚雅仙 袁雪芬
戚雅仙 周雅琴
托勒密十三世 托勒密十二世
郭品超 许慧欣
俞岱岩 张翠山
俞岱岩 张三丰
梁静 管虎
侯玉琢 侯东海
傅家俊 陈建莹
傅家俊 丁俊晖
许玮宁 阮经天
任哲中 刘毓中
松岛菜菜子 反町隆史
金庸 林乐怡
金庸 查传讷
金庸 徐志摩
金庸 朱玫
金庸 查传倜
金庸 穆旦
金庸 杜治芬
陈红 陈永才
陈红 陈凯歌
辛笛 钱钟书
辛笛 徐文绮
蔡一智 周雪芳
老舍 舒乙
老舍 胡絜青
小仲马 大仲马
小白玉霜 刘萍
小白玉霜 白玉霜
吴佩孚 张佩兰
吴佩孚 吴可成
山下敬吾 菊池康郎
于景元 于七
岛左近 石田三成
眭禄 杨伊琳
眭禄 何可欣
眭禄 江钰源
眭禄 张宇皎
萨科奇 布吕尼
秦子涵 秦海璐
张家辉 关咏荷
冯珏 冯友兰
麻生太郎 吉田茂
麻生太郎 铃木善幸
麻生太郎 麻生太吉
麻生太郎 麻生信子
陈琪琪 霍思纬
刘家良 黄杏秀
刘家良 翁静晶
周春秀 冯小艺
周春秀 周付元
周春秀 江云英
胡兰成 张爱玲
贾永婕 王兆杰
孙渠 侯光炯
严庆龄 吴舜文
朱芳雨 胡美
谢觉哉 谢宏
谢觉哉 王定国
旋涡鸣人 波风水门
孙天牧 卢之美
孙天牧 孙墨佛
陈松年 陈昔凡
陈松年 谢氏
陈松年 陈独秀
秦可卿 贾蓉
秦可卿 贾珍
许戈辉 丁健
王勃 王通
刘弗陵 汉武帝
刘弗陵 上官小妹
舒乙 老舍
曹勤 曹操
曹勤 孙姬
吴镇宇 刘青云
吴镇宇 黄秋生
袁甲三 袁保恒
袁甲三 袁世凯
邬丽珠 任彭年
邬丽珠 任意之
安胜浩 a
安胜浩 南圭丽
陈巧茹 张光茹
林忆莲 陈辉虹
林忆莲 李喜儿
林忆莲 李宗盛
樊小纯 郎咸平
马鸿逵 马敦静
马鸿逵 马福祥
娄昭君 娄昭
高思博 朱立伦
邓爱嘉 张淑仪
邓爱嘉 邓永锵
殷旭 章子男
殷旭 章子怡
贝时璋 程亦明
贝时璋 贝濂
李度崘 李昌郁
李度崘 李昌镐
张桂凤 章海灵
张桂凤 王金萍
张桂凤 范瑞娟
张桂凤 费禄姣
张桂凤 董柯娣
林心如 唐季礼
林心如 赵薇
林心如 林志颖
周家蔚 洪金宝
陈豪 陈茵媺
徐庶 刘备
马鼎盛 红线女
王晨 钱小芊
金素琴 金素雯
黄昆 黄燕
黄昆 黄宣
黄昆 黄子通
黄昆 黄宛
黄昆 杨振宁
程砚秋 果素瑛
周韵 姜文
周韵 姜一郎
谢才萍 文斌
谢才萍 文强
谢才萍 罗璇
张雨生 张惠妹
流川枫 古式
流川枫 流川龙介
苏岩 陶经
吴大揆 吴公仪
奎胜城 高胜泉
奎胜城 刘胜常
李承鹏 黄健翔
沈银河 池尚昱
唐莉 曹大元
唐莉 聂卫平
金正日 金惠敬
金正日 金日成
金正日 洪一天
金正日 金正淑
金正日 金敬惠
金正日 金正男
金正日 金正哲
金正日 高英姬
林百欣 林明珠
林百欣 谢玲玲
林百欣 顾瑞英
林百欣 林建岳
亨利五世 亨利四世
亨利五世 凯瑟琳
亨利五世 亨利六世
郭彦均 蓝心湄
唐涤生 薛觉先
唐涤生 郑孟霞
曹丕 曹冲
曹丕 曹髦
曹丕 曹霖
曹丕 曹操
曹丕 曹植
曹彰 曹丕
曹彰 曹操
曹彰 曹楷
曹彰 卞氏
杨福元 杨隆寿
吴承恩 吴锐
周瘦鹃 俞文英
令狐冲 任我行
令狐冲 任盈盈
令狐冲 岳灵珊
令狐冲 岳不群
赵玉芳 赵本山
赵玉芳 葛淑珍
赵玉芳 汪洋
曹上 曹彪
曹上 曹操
曹上 孙姬
邱爱伦 蒋孝刚
俞启威 赵太侔
俞启威 俞明震
俞启威 俞珊
魏春荣 李倩影
魏春荣 林萍
魏春荣 乔燕
蒋碧微 徐伯阳
蒋碧微 徐悲鸿
蒋碧微 张道藩
蒋碧微 徐静斐
蔡文姬 司马师
蔡文姬 蔡邕
蔡文姬 董祀
孝圣宪皇后 凌柱
孝圣宪皇后 康熙
吴郁生 吴承瑛
宋勇 宋久林
鲁健 郑天亮
罗文 关淑怡
罗文 郑伊健
罗文 黎姿
廖亦崟 棒棒堂
胡斐 胡一刀
胡斐 苗若兰
胡斐 袁紫衣
姚名达 姚芳权
姚名达 姚德源
郑亚旗 郑洪升
郑亚旗 郑渊洁
赵如兰 赵元任
赵如兰 卞学鐄
徐冬梅 成龙
卫青 刘据
卫青 平阳公主
卫青 刘彻
卫青 卫子夫
卫青 卫媪
卫青 公孙敖
裘丽琳 裘仰山
裘丽琳 周采芹
裘丽琳 周信芳
裘丽琳 周采藻
裘丽琳 周采茨
北条氏康 北条氏纲
具惠善 李民浩
胡志强 邵晓铃
梁宗岱 沉樱
梁宗岱 甘少苏
舒桐 舒茂林
张正芬 庾澄庆
张正芬 顾正秋
张正芬 伊能静
王秋杨 张宝全
李途纯 金晓琳
李途纯 高博文
傅荣斌 陆昌立
石祥 铁源
游锡堃 林义雄
葛优 赵晨浩
葛优 贺聪
葛优 冯小刚
葛优 葛存壮
冯允庄 司徒阳
冯允庄 徐天红
冯允庄 尹桂芳
孔从洲 孔继宁
章亚若 章浩若
左芬 左思
常佩业 马季
常佩业 王福田
相来炳 张云标
岳飞 姚氏
段正淳 钟灵
段正淳 阮星竹
段正淳 段正明
段正淳 甘宝宝
段正淳 刀白凤
段正淳 秦红棉
李师师 周邦彦
叶蓓 陈楚生
杨得志 耿飚
杨得志 罗瑞卿
杨得志 杨成武
鲁豫 朱雷
陈秀雯 林国雄
廖镇汉 孙道存
廖镇汉 孙芸芸
杨千嬅 丁子高
苏海文 包陪庆
苏海文 包玉刚
罗瑞卿 罗箭
林平之 令狐冲
林平之 岳灵珊
刘询 刘据
刘询 史良娣
焦刘洋 刘淑华
霍启山 霍启刚
霍启山 霍英东
霍启山 霍启仁
盛中国 濑田裕子
梁左 范荣康
梁左 梁天
梁左 梁欢
赵高 蒙毅
赵高 蒙恬
赵高 阎乐
赵高 秦二世
赵高 扶苏
赵高 秦始皇
孙佐臣 金阔亭
孙佐臣 孙八
马佩璋 马维琪
马佩璋 白先诚
林博文 袁莉
石静宜 石凤翔
孙立 顾大嫂
孙立 栾廷玉
英如镝 英达
英如镝 梁欢
冯友兰 冯台异
姚苌 姚弋仲
姚苌 姚襄
常振芳 张文广
常振芳 张其维
张继科 刘诗雯
叶玉卿 胡兆明
叶玉卿 叶志铭
梁小鸾 梅兰芳
苗丰强 苗华斌
褒姒 伯服
司马衍 庾文君
司马衍 司马绍
周建安 李歌
李亨 李僩
李亨 李侹
李亨 李佖
李亨 李系
于立群 郭世英
李豫 李逾
李豫 唐肃宗
李豫 李遘
陈乔恩 明道
陈乔恩 夏于乔
马如龙 沛小岚
咸丰 云嫔武佳氏
咸丰 孝贞显皇后钮祜禄氏
卢汉 卢浚泉
卢汉 龙泽汇
卢汉 龙泽清
卢汉 龙云
张悬 焦元溥
张悬 焦仁和
慕容皝 慕容垂
慕容皝 慕容俊
慕容皝 慕容昭
慕容皝 慕容汗
慕容皝 慕容恪
慕容皝 段氏
刘育熙 刘北茂
赵胤胤 黄子珈
金恩圣 至上励合
司马衷 愍怀太子
蔡龙云 蔡桂勤
成方圆 王刚
赵立华 洪影
黄睿靓 陈洁歆
黄睿靓 吴东河
黄睿靓 陈致中
黄睿靓 黄百禄
黄睿靓 吴淑珍
史润强 李凤兰
冯牧 冯承钧
石班瑜 周星驰
薛君度 黄德华
薛君度 黄振华
刘纯燕 刘兴沛
武田信廉 武田信虎
黄志红 张丽
马葭 景岗山
马葭 李亚鹏
叶大鹰 叶挺
李公朴 张曼筠
章宗义 六小龄童
祝允明 李应祯
祝允明 祝颢
祝允明 唐寅
祝允明 祝瓛
余思敏 郑中基
胡碧兰 王瑶卿
胡碧兰 侯喜瑞
胡碧兰 胡素仙
胡碧兰 王云卿
刘锡明 张齐玲
曾志 蔡协民
福田赳夫 福田康夫
林语堂 廖翠凤
贾珍 秦可卿
贾珍 贾敬
贾珍 贾惜春
谭其骧 葛剑雄
谭其骧 黄现璠
白家麟 高庆奎
白家麟 李鹤亭
孙治强 孙国元
孙治强 孙嘉霖
孙治强 林伦可
孙治强 孙国升
孙治强 孙中山
李阳 李金
符思思 符敦庄
欧阳锋 欧阳克
谭嗣同 杨锐
谭嗣同 谭继洵
谭嗣同 林旭
谭嗣同 刘光第
车宝蓝 车侑蓝
祖逖 刘琨
余秋里 刘素阁
王健林 王思聪
张钰 宋祖德
江泽慧 江上青
王应伟 王大珩
赵贞玉 桑振君
赵贞玉 苗文华
甄子丹 麦宝婵
甄子丹 汪诗诗
甄子丹 甄济嘉
甄子丹 甄济如
韩明淑 朴韩吉
韩明淑 朴成俊
克劳馥 Jordan
和田清 加藤繁
和田清 白鸟库吉
和田清 黄现璠
宋远桥 宋青书
宋远桥 莫声谷
饶漱石 陆璀
张曼玉 尔冬升
张曼玉 成龙
张曼玉 宋学祺
贾珠 贾兰
贾珠 李纨
小林泉美 小林光一
小林泉美 张栩
小林泉美 小林礼子
杨洪基 杨瓯
杨洪基 刘文玫
刘思齐 张文秋
刘思齐 毛岸英
刘思齐 刘谦初
刘思齐 毛泽东
刘思齐 毛岸青
刘思齐 邵华
拿破仑 拿破仑二世
苻坚 苻洪
苻坚 苻雄
苻坚 苻诜
吴炳璋 丁至云
吴炳璋 吴松岩
刘振华 林钧晓
谭震林 葛慧敏
谭震林 谭泾远
包伟铭 包小松
包伟铭 包庭政
包伟铭 包小柏
黄子扬 惠英红
莫声谷 张三丰
莫声谷 俞莲舟
莫声谷 宋远桥
莫声谷 殷梨亭
诸邑公主 石邑公主
诸邑公主 汉武帝
诸邑公主 卫长公主
吴孟达 周星驰
连方瑀 连惠心
连方瑀 连战
连方瑀 蔡依珊
陈佩斯 陈大愚
陈佩斯 陈强
戴天民 郑泉水
戴天民 毕尔格麦斯特教授
元太宗 贵由
阿剌海别吉 成吉思汗
唐英年 唐翔千
唐英年 唐嘉盛
唐英年 郭妤浅
阮兆辉 尹飞燕
刘倩婷 李丞责
厉彦芝 罗福山
鸠山由纪夫 鸠山邦夫
鸠山由纪夫 鸠山幸
蒋怡 翁狄森
罗福苌 罗福成
罗福苌 罗福颐
孙斌武 孙书筠
费贞绫 费玉清
武田胜赖 北条氏政
武田胜赖 武田信胜
武田胜赖 仁科盛信
武田胜赖 诹访赖重
武田胜赖 武田信玄
金珠 巩天阔
金吒 哪吒
金吒 木吒
李天秀 安贞焕
杨丞琳 元骏豪
杨丞琳 刘灏
杨丞琳 罗志祥
干露露 干毛毛
干露露 干爸爸
干露露 雷炳侠
程训宣 徐向前
谢颖 李永波
刘辩 刘宏
刘辩 唐姬
徐尚田 叶问
徐尚田 李小龙
陈季同 陈寿彭
张浩锋 张丹峰
张浩锋 洪欣
罗从彦 李桐
罗从彦 杨时
黄忠 刘备
沈启贤 何振亚
曹乘 李姬
赵济羹 程祥林
皇太极 豪格
封至模 马科
封至模 陈幼韩
连战 连胜武
连战 连胜文
连战 连惠心
连战 蔡依珊
连战 方瑀
连战 连震东
连战 连横
连战 赵兰坤
赵梓淇 周永恒
赵梓淇 周信希
周好璐 周传瑛
吴作人 萧淑芳
管道升 赵孟頫
李思训 李昭道
竺基焕 竺素娥
竺基焕 姚月明
竺基焕 姚水娟
刘雪华 刘德凯
李金枝 常香玉
王天伦 王天秀
王天伦 王天平
常澍田 德寿山
朱时茂 朱青阳
朱时茂 陈佩斯
朱时茂 范旭霞
李克用 李存勖
李克用 李国昌
郝明莉 郝德望
孙毓敏 梅葆玖
孙毓敏 李素萍
孙毓敏 陈静
孙毓敏 张岚芳
孙毓敏 龚苏萍
孙毓敏 李翔
孙毓敏 孙毓皓
孙毓敏 方开柳
孙毓敏 赵荣琛
德川家康 筑山殿
彭真 张洁清
杨雅卉 杨小萍
包天笑 包子青
李婉钰 庹宗康
王婉华 熊明霞
王婉华 张慧芳
王婉华 张君秋
屠杏花 施银花
屠杏花 白玉梅
屠杏花 李艳芳
郑佩佩 原子鏸
郑曼青 宋幼庵
郑曼青 宋美龄
张一山 张晓武
齐建波 张德福
吉鸿昌 吉筠亭
夏侯尚 夏侯玄
夏侯尚 夏侯儒
夏侯尚 夏侯奉
焦菊隐 焦佑瀛
颜地 方子哥
宋清 宋江
陈荟莲 陈首林
解植坤 毛阿敏
解植坤 解丰鸣
钟丽缇 严铮
汉高祖 吕雉
何秉舜 何韵诗
赵兵伟 牛淑贤
荀攸 荀適
荀攸 荀缉
牛桂英 李庭柱
李根源 李希泌
班昭 班固
班昭 班超
班昭 班彪
童葆苓 童芷苓
童葆苓 马彦祥
童葆苓 童祥苓
周印金 杨海荃
潘玮柏 张韶涵
马诚方 马恩禄
马诚方 马四立
马诚方 马恩寿
郭嵩焘 咸丰帝
郭嵩焘 肃顺
傅海峰 傅铭英
毛人凤 戴笠
毛人凤 向影心
袁克定 袁克文
赵南哲 木谷实
赵南哲 赵治勋
陈康堤 陈奕迅
王玉龄 孙立人
王玉龄 张灵甫
新凤霞 吴祖光
新凤霞 杨金香
新凤霞 戴月琴
新凤霞 齐白石
元太祖 窝阔台
杨虎城 杨拯陆
杨虎城 杨拯民
杨虎城 杨瀚
杨虎城 杨拯中
朱希祖 章太炎
朱希祖 黄侃
金岳霖 梁思成
刘靖基 刘丕基
柯蓝 李泉
庄岳颖 庄佳容
孟遏云 孟光华
黄宏 段小洁
宗馥莉 施幼珍
宗馥莉 宗庆后
段义和 柳海平
路三宝 梅兰芳
路三宝 荀慧生
路三宝 于连泉
路三宝 尚小云
郑孟霞 唐涤生
水月 陆雪琪
崔田民 崔田夫
贺晓明 贺黎明
贺晓明 贺龙
陈连升 陈长鹏
本桥麻里 长谷川久美子
张乐平 冯雏音
常书鸿 陈芝秀
常书鸿 常沙娜
冯钟芸 任远
冯钟芸 任继愈
冯钟芸 冯景兰
秦钟 秦可卿
五十岚麻朝 深田恭子
康熙 胤祎
莲小君 爱莲君
朱自清 陈竹隐
朱自清 武钟谦
黄侃 黄绍兰
续范亭 穆青
荣德生 荣宗敬
荣德生 荣毅仁
牛群 常宝华
唐老鸭 麦克法尔
唐老鸭 史高治
唐老鸭 黛丝
唐老鸭 米奇
查传讷 金庸
谢东 杨钰莹
谢东 马增蕙
谢东 侯耀华
谢东 侯耀文
谢东 戴娆
谢东 侯宝林
小椋久美子 潮田玲子
江珊 高曙光
江珊 高亦心
邓育昆 邓天星
邓育昆 刘雪华
袁阔成 袁杰亭
袁阔成 汪文华
明智光秀 明智光安
刘家辉 刘湛
许世勋 许士芬
许世勋 许晋亨
许世勋 许歧伯
许世勋 李嘉欣
菊丸英二 大石秀一郎
夏明翰 夏明衡
夏明翰 陈云凤
夏明翰 郑家钧
夏明翰 夏明震
夏明翰 夏绍范
慕容廆 慕容涉归
慕容廆 慕容皝
加藤繁 岸边成雄
加藤繁 黄现璠
陈宰均 陈朝玉
萧圣谚 萧亚轩
卡雷拉斯 多明戈
卡雷拉斯 帕瓦罗蒂
卡雷拉斯 梅塞德丝
布冯 塞雷多娃
杨尚昆 杨白冰
杨尚昆 李伯钊
杨尚昆 杨绍明
吴彦祖 S
刘德凯 刘雪华
程丽莎 郭晓冬
唐高祖 唐太宗
唐高祖 窦皇后
梁璧 叶问
刘亭 刘少奇
周采芹 裘丽琳
汪诗诗 甄子丹
汪诗诗 甄济嘉
汪诗诗 汪圆圆
季承 季羡林
范竞马 沈湘
侯瓒 侯耀华
侯瓒 侯耀文
司马邺 司马炎
司马邺 司马晏
房祖名 成龙
房祖名 薛凯琪
房祖名 大元
王云阶 李青蕙
黄秀虹 黄燕虹
黄秀虹 黄光裕
潘阳 潘长江
潘阳 杨云
时慧宝 魏匏公
邓超 孙俪
小盖叫天 盖叫天
薄熙宁 薄熙永
薄熙宁 薄熙来
林翠 王馨平
林翠 秦剑
马金凤 梅兰芳
贾静雯 孙志浩
戴军 雪村
戴军 卢中强
裘盛戎 钳韵宏
裘盛戎 孟广禄
裘盛戎 裘芸
裘盛戎 方荣翔
裘盛戎 裘红
裘盛戎 杨燕毅
裘盛戎 裘桂仙
裘盛戎 裘少戎
苗彤 戚美珍
苗彤 苗俊
郝润泽 郝海东
舍甫琴科 乔丹
舍甫琴科 克里斯蒂娜
华天 华山
华天 华龙毅
梁烈唯 Tina
霍启刚 霍启山
霍启刚 吕庆欣
霍启刚 卢恬儿
霍启刚 郭晶晶
西王母 玉皇大帝
陆锦娟 沈爱莲
陆锦娟 何笑笑
陆锦娟 陈必华
陆锦娟 余彩琴
陆锦娟 李蓉芳
陆锦娟 胡凤英
陆锦娟 盛燮
陆锦娟 筱兰芳
李盛泉 田金萍
迟重瑞 陈丽华
邓卓翔 高洪波
邓卓翔 杜威
邓卓翔 曲波
邓卓翔 郑智
邓卓翔 周熠
舒淇 林熙蕾
舒淇 冯德伦
梁挺 李小龙
张遵 张苞
李恪 李世民
周亚夫 周勃
谢亚龙 蔚少辉
谢亚龙 南勇
谢亚龙 李益群
谢亚龙 谢天竞
李思阳 敖幼祥
李思阳 陈晓韵
李思阳 陈诺
刘德海 林石城
刘德海 吴祖强
孙道存 廖镇汉
孙道存 何念慈
孙道存 吴逸萍
孙道存 颜宁
孙道存 孙法民
潘雨辰 侯勇
鞠萍 蒋翼遥
罗鹰石 罗嘉瑞
罗鹰石 罗康瑞
罗鹰石 杜莉君
马悦卿 戴德顺
钱仲联 翁端恩
钱仲联 钱振伦
方振武 方心让
方振武 方心浩
申雪 姚滨
申雪 赵宏博
龙榆生 朱祖谋
龙榆生 黄季刚
龙榆生 龙赓言
陈鸣志 邓继增
陈鸣志 王鸣楼
江璐 李维嘉
彭寂宽 彭寿山
蒋友梅 徐乃锦
蒋友梅 蒋经国
蒋友梅 蒋孝文
孙穗芬 孙穗芳
孙穗芬 孙中山
孙穗芬 孙康威
孙穗芬 孙忠仁
孙穗芬 蓝妮
涂少波 涂序生
陈玉成 李秀成
陈玉成 陈得才
陈玉成 石达开
王新亭 徐向前
姜维 诸葛亮
王世续 陈秀华
何佳山 刘大头
唐在炘 李世济
李艺 李书福
李恒 胡耀邦
阿炳 华清和
王弢 王茂俊
王弢 马明宇
王弢 刘璇
郭明义 孙秀英
方东树 刘开
方东树 姚鼐
唐奕 潘佳章
武修文 武敦儒
武修文 郭芙
武修文 郭靖
武修文 武三通
唐寅 曹凤
唐寅 沈九娘
唐寅 沈周
孙穗芳 孙穗芬
孙穗芳 孙科
孙穗芳 王祖荣
孙穗芳 孙中山
孙穗芳 严蔼娟
孙穗芳 孙治平
孙穗芳 王祖耀
谢道韫 王凝之
吴三桂 吴襄
欧阳菲菲 式场壮吉
李文云 李凤翔
李文云 胡学礼
上官婉儿 上官仪
上官婉儿 郑氏
上官婉儿 唐中宗
上官婉儿 崔湜
上官婉儿 武三思
马元亮 马世啸
马元亮 马富禄
醉丽君 徐碧云
醉丽君 武月华
费孝通 吴文藻
费孝通 潘光旦
费孝通 吴泽霖
费孝通 黄现璠
费孝通 孟吟
费孝通 费振东
高小霞 徐光宪
常香玉 张福仙
常香玉 陈玉鼎
常香玉 王冠君
常香玉 陈宪章
常香玉 蓝继策
常香玉 常老大
小花玉兰 花玉兰
小花玉兰 陈艳楼
贾兰坡 裴文中
金范 李民浩
金范 金素恩
金范 金俊
金范 金贤重
李艳芳 傅全香
李艳芳 筱丹桂
李艳芳 余彩琴
李艳芳 赵瑞花
李艳芳 姚水娟
李兆基 徐子淇
李兆基 李兆楠
李兆基 刘惠娟
李兆基 李家诚
李兆基 李佩玲
王励勤 刘彦池
王励勤 潘晓婷
黄燕虹 黄秀虹
郝春年 鲍桂山
黄子佼 夏宇童
康康 艾莉丝
康康 李世贤
康康 张家霈
康康 康孔秀花
康康 杨巧宁
吴季兰 王文清
陈松伶 张铎
刘连玉 金万昌
刘连玉 周麟阁
余德琳 许志安
单廷 林冲
方智怡 方恩绪
谭梅 朱思潭
王小屯 李戡
岩井俊二 筱田升
葛晓洁 高凌风
葛晓洁 文洁
狄波拉 张柏芝
狄波拉 谢婷婷
关正明 李慧芳
曹整 曹操
曹整 李姬
孟俊泉 王晓临
孟俊泉 裘盛戎
朱阔泉 朱蒋氏
朱阔泉 叶寿亭
杨柳 哈辉
荀令香 荀慧生
姬晨牧 姬麒麟
洪君彦 洪晃
洪君彦 章含之
戈公振 戈铭烈
戈公振 戈绍甲
戈公振 戈绍怡
夏美珍 松雪芳
夏美珍 张君秋
汤敏 骆玉笙
汤敏 袁阔成
孙胜男 贾郁沁
孙胜男 孙春来
李天一 梦鸽
李天一 李双江
严复 严璩
严复 严倚云
宋飞 宋国生
陈丽芳 程砚秋
庄姜 卫庄公
袁杰英 袁阔成
李丞责 刘倩婷
李丞责 李发文
敖嘉年 冼灏英
王洁 田佳
王洁 李家新
曹宇 曹奂
李世民 唐高宗
李世民 长孙无忌
李世民 唐高祖
李世民 李建成
李世民 长孙皇后
李世民 李元霸
李世民 李元吉
高胜泉 马岚波
高胜泉 高庆奎
高胜泉 文岚吉
李克勤 卢淑仪
刘玉栋 吴乃群
作家张爱玲 赖雅
作家张爱玲 张佩纶
徐睿 王珞丹
朱迅 王志
刘忻 王栎鑫
胡也频 丁玲
筱吉仙 田桂兰
李嘉诚 李嘉昭
李嘉诚 李泽钜
李嘉诚 李泽楷
李嘉诚 李素娟
李嘉诚 庄碧琴
李嘉诚 周凯旋
李嘉诚 庄月明
李嘉诚 李云经
李嘉诚 梁洛施
丁俊晖 丁文钧
孙峰 夏亚琴
孙峰 孙玉才
韩鹏 甄珍
韩鹏 李金羽
韩鹏 朱广沪
吴承瑛 吴晋妤
吴承瑛 顾玮
吴承瑛 吴承瑜
吴承瑛 吴云巢
陈士榘 陈华
陈士榘 李峥
谢天竞 谢亚龙
廖烈文 廖烈武
廖烈文 廖宝珊
孙耀威 陈美诗
张纯如 张盈盈
谢安 谢裒
田丽 李雨泽
田丽 陈定中
王丽卿 姚玉芙
王丽卿 王世霞
曹宪 曹华
